id,name,price,image,colors,sizes,detail
001,MARURI ヒナタマグカップ 350ml,660,mag_a.jpg,,,丸利玉樹利喜蔵商店（まるりたまきりきぞうしょうてん）\n　1940年創業。丸利玉樹利喜蔵商店は岐阜県土岐市に拠点を置く、テーブルウェアのプロデュースカンパニーです。日常生活に溶け込むデイリーウェアブランドのMARURI、全米で人気を博したアメリカンデイリーウェアのMIKASA、熟練の職人が手掛けるハイセンスな和食器ブランドのRikizoなど、多彩なブランドで国内及び世界中の食卓へ、デイリーウェアの魅力を伝えています。
002,MARURI マグカップ マム ベージュ 310ml,957,mag_b.jpg,,,程よく大人のフレンチシック。\n淡いピンクがロマンチックな雰囲気。\nフレンチシックなニュアンスで、甘すぎない絶妙なバランス感覚で仕上げられているから、ずっと長く愛用できそう。
003,cores マグカップ 320ml,2202,mag_c.jpg,yellow|camel|green|black|white|red,,コーヒーの香りと風味をあますことなく楽しむために細部まで計算し、こだわりぬいてつくりあげたマグカップ、それがキキマグ\n口元を内側にすぼませることにより、コーヒーが広がるように流れ入り、おいしさとアロマを引き出し口の中全体で複雑な味わいを感じることができる\nすぼんだ独特のかたちをつくるために、上部と下部2つの型に分け、一つにつないでいる\nその境目をわからないようにするためには、人の手による繊細な作業が必要となり、一般的なマグカップとは、かかる工程と手間が大きく異なりる\n日本最大の陶磁器生産地として知られる、岐阜県。キキマグはこの地で古くから伝わる美濃焼でつくられている
004,たたら 美濃焼 マグカップ グレー 300ml,1216,mag_d.jpg,,,光沢のないマットな色合いがオシャレなマグカップです。\n外側はグレー、内側はカラーバリエーションがブルー、ピンク、グリーン、ブラウン、グレーの5色あります。\nご夫婦でお揃いの色にしたり、ご家族で色違いを揃えるのもおすすめです。\n原産国:日本
005,奇跡の歯ブラシ クリアブラック 3本セット,1767,brush_a.jpg,,,人生100年時代の新習慣！なぞるだけで汚れが落ちる歯ブラシ\n特徴1：独自のピラミッド形状の毛束が届きにくい歯と歯の隙間、歯と歯茎の隙間にしっかり入る！\n特徴2：ダブル植毛＆ダブルカット構造により、毛先が隙間に入った際にも外側の毛が中心の毛を支えることによって除去力をサポート！\n特徴3：すべての毛先を円錐状に先細りにするテーパー加工が施してあり、この加工のおかげで様々な形状の隙間に入りやすい！\n商品サイズ おとな用：全長約17cm、ヘッド約2cm 材質、素材 柄：ＰＥＴ 毛（ブラシ部分）：ナイロン 硬さ：ふつう 耐熱温度：60℃ 製造国：日本\nご注意 本品は毛先の性質上、虫歯や歯科矯正器具等のすき間に挟まり、毛が抜けることがあります。その際は直ちに使用を中止し、新しい歯ブラシにお取替え下さい。 変色、変形の恐れがありますので、塩素系殺菌剤、漂白剤、熱湯に漬けないで下さい。 軽い力で小刻みに磨きましょう。 使用後はよく水洗いし、乾燥させて保管して下さい。
006,Ota2 プレミアム 歯ブラシ なめらかフィット [超コンパクト ふつう] 3本パック,990,brush_b.jpg,,,トレンドカラーと透明ハンドルのスタイリッシュなデザイン。\nハブラシの透明ハンドル部分にバイオマスプラスチック採用、台紙にFSC認証紙採用で環境にやさしい。\n商品の硬さ:ふつう\n超薄ヘッド、密集した毛、スリムネックにより、なめらかな磨き心地を体験できます。\n心地よくプラーク(歯垢)を除去したい、小さいヘッドの歯ブラシが好きな方に。
007,クリニカ アドバンテージ 歯ブラシ 4列 コンパクト ふつう 6本 +フロス付き,1140,brush_c.jpg,,,ヘッドの薄さを極めた「極薄ヘッド」で、奥歯のさらに奥まで届く歯科医推奨設計の歯ブラシ\n色:ホワイト×ピンク2本、ホワイトー×ブルー2本、ピンク×ピンク2本\n歯科医師会推奨商品\n原産国:日本\n内容量:6本+フロス1本
008,NONIO(ノニオ) ハブラシ TYPE-SHARP ふつう 極細毛 歯ブラシ セット 6本(※色は選べません)＋Y字フロス付き,1173,brush_d.jpg,,,コシのある極細毛＝SST毛のしっかりした毛先が、歯のすみずみまで入り込み、スッキリ爽快に歯垢除去。\nシャープなみがき心地\nハブラシの色は選べません。\n原産国：日本\n内容量：6本＋フロス1本
009,ナカバヤシ スイングロジカル 抗菌表紙ノート セミB5/A罫/30枚 スモーキーカラー 5冊パック,516,note_a.jpg,,,サイズ:セミB5/ヨコ179xタテ252x厚15mm\n本体重量:600g\n本文:上質紙70g/㎡、A罫(7mm)・30行・30枚\n表紙:コートボール紙、糸綴じ背クロス製本
010,コクヨ ノート ソフトリングノート Sooofa A5 変形 4mm方眼 青,773,note_b.jpg,,,シンプルながらもスマートさと程よいリラックス感のある、 ON/OFF問わずに使えるノート\n【表紙】 ライトブルー\n【サイズ】 A5変形(210×158mm)\n【罫内容】 4mm方眼罫 【枚数】 80枚\n【材質】 中紙/上質紙、表紙・表裏/PP、リング/オレフィン系樹脂
